id,city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,city_id
861,Saint-Ferréol-les-Neiges,Saint-Ferreol-les-Neiges,QC,Quebec,47.1167,-70.85,2964,35.6,America/Montreal,3,G0A,862
862,Laurentian Hills,Laurentian Hills,ON,Ontario,46.1333,-77.55,2961,4.6,America/Montreal,3,K0J,863
863,Grand Valley,Grand Valley,ON,Ontario,43.95,-80.3667,2956,18.7,America/Toronto,3,L9W,864
864,Senneterre,Senneterre,QC,Quebec,48.3833,-77.2333,2953,0.2,America/Montreal,3,J0Y,865
865,Sainte-Marie-Madeleine,Sainte-Marie-Madeleine,QC,Quebec,45.6,-73.1,2935,57.7,America/Montreal,4,J0H,866
866,Admaston/Bromley,Admaston/Bromley,ON,Ontario,45.5292,-76.8969,2935,5.6,America/Toronto,3,K7V K0J,867
867,Saint-Gabriel-de-Valcartier,Saint-Gabriel-de-Valcartier,QC,Quebec,46.9333,-71.4667,2933,6.7,America/Montreal,3,G0A,868
868,North Algona Wilberforce,North Algona Wilberforce,ON,Ontario,45.6167,-77.2,2915,7.7,America/Toronto,3,K8A K0J,869
869,Kingston,Kingston,NB,New Brunswick,45.4663,-66.0217,2913,14.5,America/Moncton,4,E5N E5S,870
870,Wawa,Wawa,ON,Ontario,47.9931,-84.7736,2905,7,America/Toronto,3,P0S,871
871,Saint-Christophe-d'Arthabaska,Saint-Christophe-d'Arthabaska,QC,Quebec,46.0333,-71.8833,2892,41.9,America/Montreal,4,G6R G6S,872
872,Sainte-Mélanie,Sainte-Melanie,QC,Quebec,46.1333,-73.5167,2892,38.1,America/Montreal,3,J0K,873
873,Ascot Corner,Ascot Corner,QC,Quebec,45.45,-71.7667,2891,35.1,America/Montreal,4,J0B,874
874,Horton,Horton,ON,Ontario,45.5,-76.6667,2887,18.2,America/Toronto,3,K7V,875
875,Saint-Michel,Saint-Michel,QC,Quebec,45.2333,-73.5667,2884,48.2,America/Montreal,3,J0L,876
876,Botwood,Botwood,NL,Newfoundland and Labrador,49.15,-55.3667,2875,191,America/St_Johns,3,A0H,877
877,Saint-Paul-d'Abbotsford,Saint-Paul-d'Abbotsford,QC,Quebec,45.4333,-72.8833,2870,36.1,America/Montreal,4,J0E,878
878,Saint-Marc-des-Carrières,Saint-Marc-des-Carrieres,QC,Quebec,46.6833,-72.05,2862,172,America/Montreal,3,G0A,879
879,Stanstead,Stanstead,QC,Quebec,45.0167,-72.1,2857,125.8,America/Montreal,3,J0B,880
880,Sainte-Anne-de-Beaupré,Sainte-Anne-de-Beaupre,QC,Quebec,47.0167,-70.9333,2854,45.6,America/Montreal,3,G0A,881
881,Sainte-Luce,Sainte-Luce,QC,Quebec,48.55,-68.38,2851,39,America/Montreal,3,G0K,882
882,Saint-Gabriel,Saint-Gabriel,QC,Quebec,46.3,-73.3833,2844,1012.3,America/Montreal,3,J0K,883
883,Rankin Inlet,Rankin Inlet,NU,Nunavut,62.83,-92.1321,2842,140.4,America/Rankin_Inlet,4,X0C,884
884,Vanscoy No. 345,Vanscoy No. 345,SK,Saskatchewan,52.0073,-107.0552,2840,3.3,America/Regina,4,S0K S0L S7K,885
885,Cedar,Cedar,BC,British Columbia,49.0853,-123.8259,2836,83.8,America/Vancouver,4,V9X,886
886,Princeton,Princeton,BC,British Columbia,49.4589,-120.506,2828,47.4,America/Vancouver,3,V0X,887
887,La Loche,La Loche,SK,Saskatchewan,56.4833,-109.4333,2827,181.3,America/Regina,3,S0M,888
888,Kingsclear,Kingsclear,NB,New Brunswick,45.8796,-66.8695,2822,18.6,America/Moncton,4,E3E,889
889,Ferme-Neuve,Ferme-Neuve,QC,Quebec,46.7,-75.45,2822,3.6,America/Montreal,3,J0W,890
890,Thurso,Thurso,QC,Quebec,45.5969,-75.2433,2818,449,America/Montreal,3,J0X,891
891,Adstock,Adstock,QC,Quebec,46.05,-71.08,2806,9.7,America/Montreal,4,G0N,892
892,Shuniah,Shuniah,ON,Ontario,48.5833,-88.8333,2798,4.9,America/Toronto,3,P0T P7A,893
893,Enniskillen,Enniskillen,ON,Ontario,42.8167,-82.125,2796,8.3,America/Toronto,3,N0N,894
894,Yamachiche,Yamachiche,QC,Quebec,46.2667,-72.8333,2787,26.2,America/Montreal,3,G0X,895
895,Saint-Maurice,Saint-Maurice,QC,Quebec,46.4667,-72.5333,2775,30.3,America/Montreal,3,G0X,896
896,Bonaventure,Bonaventure,QC,Quebec,48.05,-65.4833,2775,26.6,America/Montreal,3,G0C,897
897,Val-Morin,Val-Morin,QC,Quebec,46,-74.18,2772,70.3,America/Montreal,3,J0T,898
898,Pohénégamook,Pohenegamook,QC,Quebec,47.4667,-69.2167,2770,8.1,America/Montreal,3,G0L,899
899,Wakefield,Wakefield,NB,New Brunswick,46.2406,-67.6248,2767,14.1,America/Moncton,4,E7M E7P,900
900,Stoke,Stoke,QC,Quebec,45.5333,-71.8,2765,10.8,America/Montreal,4,J0B,901
901,Sainte-Marguerite-du-Lac-Masson,Sainte-Marguerite-du-Lac-Masson,QC,Quebec,46.056,-74.0723,2763,30,America/Montreal,4,J0T,902
902,Saint-Prime,Saint-Prime,QC,Quebec,48.58,-72.33,2758,18.7,America/Montreal,3,G8J,903
903,Kuujjuaq,Kuujjuaq,QC,Quebec,58.1429,-68.3742,2754,9.4,America/Montreal,4,J0M,904
904,Atikokan,Atikokan,ON,Ontario,48.75,-91.6167,2753,8.6,America/Atikokan,3,P0T,905
905,Grenville-sur-la-Rouge,Grenville-sur-la-Rouge,QC,Quebec,45.65,-74.6333,2746,8.7,America/Montreal,3,J0V,906
906,North Cypress-Langford,North Cypress-Langford,MB,Manitoba,49.9969,-99.3982,2745,1.6,America/Winnipeg,4,R0J R0K,907
907,Sainte-Anne-de-Sorel,Sainte-Anne-de-Sorel,QC,Quebec,46.05,-73.0667,2742,71.4,America/Montreal,4,J3P,908
